payout_reference,merchant_id,amount_minor,currency,bank_ref_1,paid_at_1,bank_ref_2,paid_at_2
payout-881542,30098,989116,EUR,BNK-E5DF682DBD6D,2026-08-14T14:02:05.712Z,BNK-4E9E2CC643EE,2026-08-14T14:02:53.000Z
payout-881543,38017,328755,EUR,BNK-7C04241364B9,2026-08-14T14:02:05.897Z,BNK-440E246047CD,2026-08-14T14:02:53.221Z
payout-881544,36936,150027,EUR,BNK-D21F2E8F65AD,2026-08-14T14:02:06.213Z,BNK-FEE005E65B01,2026-08-14T14:02:53.512Z
payout-881545,35855,2227315,EUR,BNK-5A6DC6E39A8F,2026-08-14T14:02:06.474Z,BNK-91B568CC6FDE,2026-08-14T14:02:53.792Z
payout-881546,34774,1790738,EUR,BNK-F8DDC1A5BB87,2026-08-14T14:02:06.681Z,BNK-442F17D66CED,2026-08-14T14:02:54.075Z
payout-881547,33693,132724,EUR,BNK-8CD5B6CB233C,2026-08-14T14:02:06.938Z,BNK-66CA25384AB1,2026-08-14T14:02:54.357Z
payout-881548,32612,1868228,EUR,BNK-742585ED3A4B,2026-08-14T14:02:07.145Z,BNK-9B525D702B2E,2026-08-14T14:02:54.648Z
payout-881549,31531,1926077,EUR,BNK-AD3516C7212A,2026-08-14T14:02:07.389Z,BNK-89F0B5E799EC,2026-08-14T14:02:54.905Z
payout-881550,30450,2107747,EUR,BNK-E2948DECDFE3,2026-08-14T14:02:07.582Z,BNK-5E1D53288099,2026-08-14T14:02:55.151Z
payout-881551,38369,620955,EUR,BNK-E776A6B61594,2026-08-14T14:02:07.887Z,BNK-DF0494C36384,2026-08-14T14:02:55.378Z
payout-881552,37288,1515481,EUR,BNK-F22C3B176D8A,2026-08-14T14:02:08.102Z,BNK-20B752F91E8E,2026-08-14T14:02:55.622Z
payout-881553,36207,369314,EUR,BNK-0280668BE13F,2026-08-14T14:02:08.415Z,BNK-44774E8E063F,2026-08-14T14:02:55.837Z
payout-881554,35126,2394445,EUR,BNK-F57FD692E281,2026-08-14T14:02:08.718Z,BNK-A868CAA0E429,2026-08-14T14:02:56.057Z
payout-881555,34045,559271,EUR,BNK-B4375B9AF978,2026-08-14T14:02:09.033Z,BNK-EE94FF5657FA,2026-08-14T14:02:56.349Z
payout-881556,32964,349725,EUR,BNK-3218015F332E,2026-08-14T14:02:09.242Z,BNK-49EB38ABF17A,2026-08-14T14:02:56.625Z
payout-881557,31883,2079254,EUR,BNK-EB3F49C22F2A,2026-08-14T14:02:09.459Z,BNK-EA776BBB9ABF,2026-08-14T14:02:56.915Z
payout-881558,30802,1251097,EUR,BNK-D8F7895B5746,2026-08-14T14:02:09.717Z,BNK-DA92796BBF52,2026-08-14T14:02:57.129Z
payout-881559,38721,1152631,EUR,BNK-F3E6312A07C0,2026-08-14T14:02:09.933Z,BNK-1C11183D79CB,2026-08-14T14:02:57.384Z
payout-881560,37640,1193520,EUR,BNK-B072433CB49B,2026-08-14T14:02:10.163Z,BNK-CE1E5E5901C5,2026-08-14T14:02:57.645Z
payout-881561,36559,483852,EUR,BNK-8A709489CD1F,2026-08-14T14:02:10.373Z,BNK-CC4CAF803F4E,2026-08-14T14:02:57.930Z
