# kubectl get events -n settle --sort-by=.lastTimestamp (exported 14:58, merged with node events)
LAST SEEN            TYPE      REASON                       OBJECT                                   MESSAGE
2026-08-14T13:58:10Z  Warning   FailedGetResourceMetric      horizontalpodautoscaler/settle-api       failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
2026-08-14T13:59:40Z  Normal    SuccessfulGetResourceMetric  horizontalpodautoscaler/settle-api       metrics-server available again
2026-08-14T14:02:40Z  Normal    ScalingReplicaSet            deployment/settle-api                    Scaled up replica set settle-api-7c9d8f5b6 to 4
2026-08-14T14:02:40Z  Normal    ScalingReplicaSet            deployment/settle-api                    Scaled down replica set settle-api-5b7f9c6d4 to 2 from 4
2026-08-14T14:02:40Z  Normal    ScalingReplicaSet            deployment/settle-worker                 Scaled up replica set settle-worker-84c6d7f9b to 1
2026-08-14T14:02:41Z  Normal    Pulling                      pod/settle-api-7c9d8f5b6-xk2lp           Pulling image "registry.paylane.internal/settle-api:latest"
2026-08-14T14:02:41Z  Normal    Pulling                      pod/settle-api-7c9d8f5b6-b4n8s           Pulling image "registry.paylane.internal/settle-api:latest"
2026-08-14T14:02:41Z  Normal    Pulling                      pod/settle-api-7c9d8f5b6-j7wq2           Pulling image "registry.paylane.internal/settle-api:latest"
2026-08-14T14:02:41Z  Normal    Pulling                      pod/settle-api-7c9d8f5b6-r5tzm           Pulling image "registry.paylane.internal/settle-api:latest"
2026-08-14T14:02:44Z  Normal    Pulled                       pod/settle-api-7c9d8f5b6-xk2lp           Successfully pulled image "registry.paylane.internal/settle-api:latest" in 2.9s. Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:02:44Z  Normal    Pulled                       pod/settle-api-7c9d8f5b6-b4n8s           Successfully pulled image "registry.paylane.internal/settle-api:latest" in 2.9s. Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:02:44Z  Normal    Pulled                       pod/settle-api-7c9d8f5b6-j7wq2           Successfully pulled image "registry.paylane.internal/settle-api:latest" in 2.9s. Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:02:44Z  Normal    Pulled                       pod/settle-api-7c9d8f5b6-r5tzm           Successfully pulled image "registry.paylane.internal/settle-api:latest" in 2.9s. Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:02:44Z  Normal    Killing                      pod/settle-worker-6f8b7d9c5-4hjkl        Stopping container worker
2026-08-14T14:02:48Z  Normal    Pulled                       pod/settle-worker-84c6d7f9b-a1b2c        Successfully pulled image "registry.paylane.internal/settle-api:latest" in 3.1s. Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:02:52Z  Normal    Started                      pod/settle-worker-84c6d7f9b-a1b2c        Started container worker
