# kubectl -n settle get hpa settle-api -w   (timestamps prefixed by the terminal logger)
TIME      NAME         REFERENCE               TARGETS    MINPODS   MAXPODS   REPLICAS
13:55:00  settle-api   Deployment/settle-api   26%/50%    4         10        4
13:56:00  settle-api   Deployment/settle-api   26%/50%    4         10        4
13:57:00  settle-api   Deployment/settle-api   27%/50%    4         10        4
13:58:00  settle-api   Deployment/settle-api   <unknown>/50% 4         10        4
13:59:00  settle-api   Deployment/settle-api   22%/50%    4         10        4
14:00:00  settle-api   Deployment/settle-api   31%/50%    4         10        4
14:01:00  settle-api   Deployment/settle-api   21%/50%    4         10        4
14:02:00  settle-api   Deployment/settle-api   30%/50%    4         10        4
14:03:00  settle-api   Deployment/settle-api   399%/50%   4         10        4
14:04:00  settle-api   Deployment/settle-api   408%/50%   4         10        4
14:05:00  settle-api   Deployment/settle-api   374%/50%   4         10        8
14:06:00  settle-api   Deployment/settle-api   203%/50%   4         10        10
14:07:00  settle-api   Deployment/settle-api   185%/50%   4         10        10
14:08:00  settle-api   Deployment/settle-api   403%/50%   4         10        10
14:09:00  settle-api   Deployment/settle-api   363%/50%   4         10        10
14:10:00  settle-api   Deployment/settle-api   220%/50%   4         10        10
14:11:00  settle-api   Deployment/settle-api   358%/50%   4         10        10
14:12:00  settle-api   Deployment/settle-api   414%/50%   4         10        10
14:13:00  settle-api   Deployment/settle-api   265%/50%   4         10        10
14:14:00  settle-api   Deployment/settle-api   231%/50%   4         10        10
14:15:00  settle-api   Deployment/settle-api   288%/50%   4         10        10
14:16:00  settle-api   Deployment/settle-api   405%/50%   4         10        10
14:17:00  settle-api   Deployment/settle-api   407%/50%   4         10        10
14:18:00  settle-api   Deployment/settle-api   197%/50%   4         10        10
14:19:00  settle-api   Deployment/settle-api   290%/50%   4         10        10
14:20:00  settle-api   Deployment/settle-api   288%/50%   4         10        10
14:21:00  settle-api   Deployment/settle-api   266%/50%   4         10        10
14:22:00  settle-api   Deployment/settle-api   373%/50%   4         10        10
14:23:00  settle-api   Deployment/settle-api   294%/50%   4         10        10
14:24:00  settle-api   Deployment/settle-api   189%/50%   4         10        10
14:25:00  settle-api   Deployment/settle-api   405%/50%   4         10        10
14:26:00  settle-api   Deployment/settle-api   408%/50%   4         10        10
14:27:00  settle-api   Deployment/settle-api   241%/50%   4         10        10
14:28:00  settle-api   Deployment/settle-api   271%/50%   4         10        10
14:29:00  settle-api   Deployment/settle-api   398%/50%   4         10        10
14:30:00  settle-api   Deployment/settle-api   312%/50%   4         10        10
14:31:00  settle-api   Deployment/settle-api   202%/50%   4         10        10
14:32:00  settle-api   Deployment/settle-api   317%/50%   4         10        10
14:33:00  settle-api   Deployment/settle-api   302%/50%   4         10        10
14:34:00  settle-api   Deployment/settle-api   205%/50%   4         10        10
14:35:00  settle-api   Deployment/settle-api   300%/50%   4         10        10
14:36:00  settle-api   Deployment/settle-api   214%/50%   4         10        10
14:37:00  settle-api   Deployment/settle-api   235%/50%   4         10        10
14:38:00  settle-api   Deployment/settle-api   281%/50%   4         10        10
14:39:00  settle-api   Deployment/settle-api   228%/50%   4         10        10
14:40:00  settle-api   Deployment/settle-api   237%/50%   4         10        10
14:41:00  settle-api   Deployment/settle-api   335%/50%   4         10        10
14:42:00  settle-api   Deployment/settle-api   308%/50%   4         10        10
14:43:00  settle-api   Deployment/settle-api   355%/50%   4         10        10
14:44:00  settle-api   Deployment/settle-api   232%/50%   4         10        10
14:45:00  settle-api   Deployment/settle-api   346%/50%   4         10        10
14:46:00  settle-api   Deployment/settle-api   394%/50%   4         10        10
14:47:00  settle-api   Deployment/settle-api   25%/50%    4         4         4
14:48:00  settle-api   Deployment/settle-api   19%/50%    4         4         4
14:49:00  settle-api   Deployment/settle-api   30%/50%    4         4         4
14:50:00  settle-api   Deployment/settle-api   19%/50%    4         4         4
14:51:00  settle-api   Deployment/settle-api   30%/50%    4         4         4
14:52:00  settle-api   Deployment/settle-api   29%/50%    4         4         4
14:53:00  settle-api   Deployment/settle-api   20%/50%    4         4         4
14:54:00  settle-api   Deployment/settle-api   29%/50%    4         4         4
