time,"p99_seconds (nginx request_time, capped by 5s proxy timeout)"
2026-08-14 13:30:00,0.163
2026-08-14 13:31:00,0.176
2026-08-14 13:32:00,0.201
2026-08-14 13:33:00,0.229
2026-08-14 13:34:00,0.195
2026-08-14 13:35:00,0.239
2026-08-14 13:36:00,0.223
2026-08-14 13:37:00,0.229
2026-08-14 13:38:00,0.225
2026-08-14 13:39:00,0.176
2026-08-14 13:40:00,0.211
2026-08-14 13:41:00,0.189
2026-08-14 13:42:00,0.224
2026-08-14 13:43:00,0.176
2026-08-14 13:44:00,0.181
2026-08-14 13:45:00,0.202
2026-08-14 13:46:00,0.206
2026-08-14 13:47:00,0.164
2026-08-14 13:48:00,0.207
2026-08-14 13:49:00,0.188
2026-08-14 13:50:00,0.231
2026-08-14 13:51:00,0.208
2026-08-14 13:52:00,0.217
2026-08-14 13:53:00,0.221
2026-08-14 13:54:00,0.19
2026-08-14 13:55:00,0.193
2026-08-14 13:56:00,0.162
2026-08-14 13:57:00,0.204
2026-08-14 13:58:00,0.207
2026-08-14 13:59:00,0.22
2026-08-14 14:00:00,0.223
2026-08-14 14:01:00,0.192
2026-08-14 14:02:00,5.0
2026-08-14 14:03:00,5.0
2026-08-14 14:04:00,5.0
2026-08-14 14:05:00,5.0
2026-08-14 14:06:00,5.0
2026-08-14 14:07:00,5.0
2026-08-14 14:08:00,5.0
2026-08-14 14:09:00,5.0
2026-08-14 14:10:00,4.3
2026-08-14 14:11:00,3.49
2026-08-14 14:12:00,3.15
2026-08-14 14:13:00,3.44
2026-08-14 14:14:00,3.37
2026-08-14 14:15:00,3.8
2026-08-14 14:16:00,3.16
2026-08-14 14:17:00,3.55
2026-08-14 14:18:00,4.05
2026-08-14 14:19:00,4.77
2026-08-14 14:20:00,4.11
2026-08-14 14:21:00,4.7
2026-08-14 14:22:00,3.29
2026-08-14 14:23:00,4.28
2026-08-14 14:24:00,3.15
2026-08-14 14:25:00,3.38
2026-08-14 14:26:00,3.99
2026-08-14 14:27:00,4.72
2026-08-14 14:28:00,4.1
2026-08-14 14:29:00,4.0
2026-08-14 14:30:00,4.14
2026-08-14 14:31:00,3.7
2026-08-14 14:32:00,4.0
2026-08-14 14:33:00,4.0
2026-08-14 14:34:00,3.9
2026-08-14 14:35:00,4.4
2026-08-14 14:36:00,3.96
2026-08-14 14:37:00,3.82
2026-08-14 14:38:00,4.03
2026-08-14 14:39:00,4.75
2026-08-14 14:40:00,4.53
2026-08-14 14:41:00,4.65
2026-08-14 14:42:00,4.14
2026-08-14 14:43:00,3.78
2026-08-14 14:44:00,3.3
2026-08-14 14:45:00,3.17
2026-08-14 14:46:00,4.12
2026-08-14 14:47:00,4.54
2026-08-14 14:48:00,4.32
2026-08-14 14:49:00,3.29
2026-08-14 14:50:00,0.202
2026-08-14 14:51:00,0.226
2026-08-14 14:52:00,0.231
2026-08-14 14:53:00,0.224
2026-08-14 14:54:00,0.236
2026-08-14 14:55:00,0.182
2026-08-14 14:56:00,0.214
2026-08-14 14:57:00,0.167
2026-08-14 14:58:00,0.193
2026-08-14 14:59:00,0.236
