time,total_rps,non_5xx_rps,5xx_rps,5xx_ratio
2026-08-14 13:30:00,39.4,39.3,0.1,0.0025
2026-08-14 13:31:00,35.6,35.5,0.1,0.0029
2026-08-14 13:32:00,38.0,37.9,0.1,0.0019
2026-08-14 13:33:00,38.5,38.5,0.0,0.0011
2026-08-14 13:34:00,35.6,35.6,0.0,0.001
2026-08-14 13:35:00,38.7,38.6,0.1,0.0019
2026-08-14 13:36:00,40.0,39.9,0.1,0.0029
2026-08-14 13:37:00,36.9,36.9,0.0,0.001
2026-08-14 13:38:00,36.0,35.9,0.1,0.002
2026-08-14 13:39:00,38.5,38.4,0.1,0.0016
2026-08-14 13:40:00,39.4,39.3,0.1,0.0027
2026-08-14 13:41:00,35.1,35.1,0.0,0.0012
2026-08-14 13:42:00,40.5,40.5,0.0,0.0012
2026-08-14 13:43:00,37.0,36.9,0.1,0.0023
2026-08-14 13:44:00,39.4,39.3,0.1,0.0014
2026-08-14 13:45:00,36.4,36.3,0.1,0.002
2026-08-14 13:46:00,39.7,39.6,0.1,0.0026
2026-08-14 13:47:00,38.9,38.8,0.1,0.0022
2026-08-14 13:48:00,39.7,39.6,0.1,0.0026
2026-08-14 13:49:00,38.9,38.8,0.1,0.0024
2026-08-14 13:50:00,37.1,37.0,0.1,0.0029
2026-08-14 13:51:00,40.3,40.2,0.1,0.002
2026-08-14 13:52:00,37.5,37.4,0.1,0.0027
2026-08-14 13:53:00,40.8,40.7,0.1,0.0013
2026-08-14 13:54:00,37.1,37.0,0.1,0.0022
2026-08-14 13:55:00,35.8,35.7,0.1,0.003
2026-08-14 13:56:00,39.8,39.7,0.1,0.0023
2026-08-14 13:57:00,37.6,37.5,0.1,0.0027
2026-08-14 13:58:00,35.0,34.9,0.1,0.0028
2026-08-14 13:59:00,37.3,37.2,0.1,0.002
2026-08-14 14:00:00,76.1,75.9,0.2,0.0028
2026-08-14 14:01:00,37.9,37.8,0.1,0.0023
2026-08-14 14:02:00,37.5,37.4,0.1,0.0025
2026-08-14 14:03:00,47.4,41.7,5.7,0.12
2026-08-14 14:04:00,54.6,33.9,20.7,0.38
2026-08-14 14:05:00,48.3,18.8,29.5,0.61
2026-08-14 14:06:00,49.4,13.8,35.6,0.72
2026-08-14 14:07:00,52.6,11.6,41.0,0.78
2026-08-14 14:08:00,47.5,9.0,38.5,0.81
2026-08-14 14:09:00,49.8,10.5,39.3,0.79
2026-08-14 14:10:00,54.2,32.0,22.2,0.41
2026-08-14 14:11:00,52.8,33.1,19.7,0.373
2026-08-14 14:12:00,49.2,30.0,19.2,0.391
2026-08-14 14:13:00,47.4,28.3,19.1,0.404
2026-08-14 14:14:00,54.1,33.2,20.9,0.386
2026-08-14 14:15:00,53.0,31.9,21.1,0.399
2026-08-14 14:16:00,52.8,33.8,19.0,0.36
2026-08-14 14:17:00,53.7,35.0,18.7,0.348
2026-08-14 14:18:00,49.6,30.3,19.3,0.39
2026-08-14 14:19:00,51.8,33.6,18.2,0.352
2026-08-14 14:20:00,52.0,32.1,19.9,0.382
2026-08-14 14:21:00,51.2,31.8,19.4,0.378
2026-08-14 14:22:00,52.9,34.9,18.0,0.34
2026-08-14 14:23:00,52.8,33.4,19.4,0.367
2026-08-14 14:24:00,54.1,35.2,18.9,0.349
2026-08-14 14:25:00,52.1,33.7,18.4,0.353
2026-08-14 14:26:00,53.2,34.0,19.2,0.361
2026-08-14 14:27:00,52.5,31.0,21.5,0.409
2026-08-14 14:28:00,53.7,33.2,20.5,0.381
2026-08-14 14:29:00,50.6,33.1,17.5,0.346
2026-08-14 14:30:00,48.7,31.7,17.0,0.349
2026-08-14 14:31:00,52.2,22.7,29.5,0.565
2026-08-14 14:32:00,53.1,17.4,35.7,0.673
2026-08-14 14:33:00,51.9,21.8,30.1,0.579
2026-08-14 14:34:00,52.2,21.8,30.4,0.583
2026-08-14 14:35:00,47.6,17.9,29.7,0.623
2026-08-14 14:36:00,47.8,21.1,26.7,0.558
2026-08-14 14:37:00,50.2,19.3,30.9,0.615
2026-08-14 14:38:00,51.6,19.5,32.1,0.623
2026-08-14 14:39:00,50.7,20.1,30.6,0.604
2026-08-14 14:40:00,55.2,20.7,34.5,0.625
2026-08-14 14:41:00,49.0,18.2,30.8,0.628
2026-08-14 14:42:00,53.1,19.8,33.3,0.628
2026-08-14 14:43:00,53.7,21.6,32.1,0.598
2026-08-14 14:44:00,50.9,7.1,43.8,0.86
2026-08-14 14:45:00,54.4,9.2,45.2,0.83
2026-08-14 14:46:00,54.3,19.5,34.8,0.64
2026-08-14 14:47:00,50.1,30.1,20.0,0.4
2026-08-14 14:48:00,52.3,40.8,11.5,0.22
2026-08-14 14:49:00,49.8,45.3,4.5,0.09
2026-08-14 14:50:00,48.2,46.7,1.5,0.031
2026-08-14 14:51:00,36.4,36.3,0.1,0.0023
2026-08-14 14:52:00,37.8,37.7,0.1,0.0016
2026-08-14 14:53:00,36.1,36.0,0.1,0.0017
2026-08-14 14:54:00,36.5,36.4,0.1,0.0026
2026-08-14 14:55:00,38.6,38.5,0.1,0.003
2026-08-14 14:56:00,38.2,38.1,0.1,0.0015
2026-08-14 14:57:00,39.5,39.4,0.1,0.0028
2026-08-14 14:58:00,35.8,35.7,0.1,0.0029
2026-08-14 14:59:00,39.4,39.4,0.0,0.001
