time,node-1_cpu_util,node-2_cpu_util,node-3_cpu_util
2026-08-14 13:30:00,0.316,0.272,0.282
2026-08-14 13:31:00,0.248,0.297,0.298
2026-08-14 13:32:00,0.337,0.318,0.264
2026-08-14 13:33:00,0.227,0.235,0.287
2026-08-14 13:34:00,0.258,0.25,0.229
2026-08-14 13:35:00,0.326,0.303,0.223
2026-08-14 13:36:00,0.231,0.325,0.241
2026-08-14 13:37:00,0.293,0.263,0.273
2026-08-14 13:38:00,0.262,0.316,0.225
2026-08-14 13:39:00,0.334,0.32,0.318
2026-08-14 13:40:00,0.331,0.308,0.917
2026-08-14 13:41:00,0.226,0.277,0.905
2026-08-14 13:42:00,0.235,0.296,0.921
2026-08-14 13:43:00,0.225,0.268,0.921
2026-08-14 13:44:00,0.313,0.338,0.901
2026-08-14 13:45:00,0.295,0.325,0.882
2026-08-14 13:46:00,0.285,0.29,0.903
2026-08-14 13:47:00,0.221,0.294,0.938
2026-08-14 13:48:00,0.233,0.229,0.889
2026-08-14 13:49:00,0.232,0.305,0.936
2026-08-14 13:50:00,0.28,0.302,0.935
2026-08-14 13:51:00,0.298,0.325,0.891
2026-08-14 13:52:00,0.23,0.306,0.307
2026-08-14 13:53:00,0.247,0.244,0.229
2026-08-14 13:54:00,0.232,0.262,0.328
2026-08-14 13:55:00,0.271,0.256,0.29
2026-08-14 13:56:00,0.324,0.225,0.233
2026-08-14 13:57:00,0.31,0.329,0.293
2026-08-14 13:58:00,0.233,0.238,0.317
2026-08-14 13:59:00,0.312,0.28,0.309
2026-08-14 14:00:00,0.262,0.295,0.255
2026-08-14 14:01:00,0.305,0.283,0.313
2026-08-14 14:02:00,0.308,0.311,0.296
2026-08-14 14:03:00,0.773,0.787,0.85
2026-08-14 14:04:00,0.812,0.785,0.728
2026-08-14 14:05:00,0.756,0.75,0.757
2026-08-14 14:06:00,0.79,0.825,0.832
2026-08-14 14:07:00,0.801,0.773,0.762
2026-08-14 14:08:00,0.713,0.765,0.733
2026-08-14 14:09:00,0.733,0.779,0.724
2026-08-14 14:10:00,0.852,0.786,0.852
2026-08-14 14:11:00,0.837,0.751,0.72
2026-08-14 14:12:00,0.81,0.728,0.819
2026-08-14 14:13:00,0.857,0.754,0.804
2026-08-14 14:14:00,0.852,0.752,0.728
2026-08-14 14:15:00,0.817,0.738,0.772
2026-08-14 14:16:00,0.769,0.749,0.761
2026-08-14 14:17:00,0.787,0.858,0.79
2026-08-14 14:18:00,0.819,0.785,0.79
2026-08-14 14:19:00,0.739,0.842,0.841
2026-08-14 14:20:00,0.839,0.754,0.811
2026-08-14 14:21:00,0.827,0.753,0.782
2026-08-14 14:22:00,0.829,0.857,0.846
2026-08-14 14:23:00,0.738,0.855,0.796
2026-08-14 14:24:00,0.86,0.82,0.72
2026-08-14 14:25:00,0.823,0.851,0.841
2026-08-14 14:26:00,0.755,0.766,0.719
2026-08-14 14:27:00,0.721,0.794,0.727
2026-08-14 14:28:00,0.719,0.715,0.787
2026-08-14 14:29:00,0.756,0.711,0.762
2026-08-14 14:30:00,0.791,0.734,0.818
2026-08-14 14:31:00,0.776,0.855,0.711
2026-08-14 14:32:00,0.741,0.851,0.729
2026-08-14 14:33:00,0.725,0.787,0.746
2026-08-14 14:34:00,0.857,0.77,0.754
2026-08-14 14:35:00,0.824,0.848,0.857
2026-08-14 14:36:00,0.735,0.792,0.766
2026-08-14 14:37:00,0.859,0.832,0.741
2026-08-14 14:38:00,0.829,0.814,0.781
2026-08-14 14:39:00,0.754,0.715,0.712
2026-08-14 14:40:00,0.745,0.773,0.843
2026-08-14 14:41:00,0.713,0.825,0.774
2026-08-14 14:42:00,0.808,0.854,0.73
2026-08-14 14:43:00,0.74,0.793,0.838
2026-08-14 14:44:00,0.793,0.83,0.732
2026-08-14 14:45:00,0.729,0.751,0.838
2026-08-14 14:46:00,0.802,0.812,0.793
2026-08-14 14:47:00,0.294,0.229,0.327
2026-08-14 14:48:00,0.259,0.227,0.276
2026-08-14 14:49:00,0.252,0.294,0.326
2026-08-14 14:50:00,0.255,0.27,0.249
2026-08-14 14:51:00,0.24,0.289,0.33
2026-08-14 14:52:00,0.319,0.22,0.285
2026-08-14 14:53:00,0.328,0.279,0.312
2026-08-14 14:54:00,0.252,0.314,0.299
2026-08-14 14:55:00,0.3,0.338,0.226
2026-08-14 14:56:00,0.271,0.292,0.224
2026-08-14 14:57:00,0.279,0.294,0.261
2026-08-14 14:58:00,0.222,0.337,0.329
2026-08-14 14:59:00,0.276,0.224,0.225
