time,node-2_root_free_GiB,node-1_root_free_GiB,node-3_root_free_GiB
2026-08-14 13:30:00,20.1,34.2,38.9
2026-08-14 13:31:00,20.1,34.2,38.9
2026-08-14 13:32:00,20.1,34.2,38.9
2026-08-14 13:33:00,20.1,34.2,38.9
2026-08-14 13:34:00,20.1,34.2,38.9
2026-08-14 13:35:00,20.1,34.2,38.9
2026-08-14 13:36:00,20.1,34.2,38.9
2026-08-14 13:37:00,20.1,34.2,38.9
2026-08-14 13:38:00,20.1,34.2,38.9
2026-08-14 13:39:00,20.1,34.2,38.9
2026-08-14 13:40:00,20.1,34.2,38.9
2026-08-14 13:41:00,20.1,34.2,38.9
2026-08-14 13:42:00,20.1,34.2,38.9
2026-08-14 13:43:00,20.1,34.2,38.9
2026-08-14 13:44:00,20.1,34.2,38.9
2026-08-14 13:45:00,20.1,34.2,38.9
2026-08-14 13:46:00,20.1,34.2,38.9
2026-08-14 13:47:00,20.1,34.2,38.9
2026-08-14 13:48:00,20.1,34.2,38.9
2026-08-14 13:49:00,20.1,34.2,38.9
2026-08-14 13:50:00,20.1,34.2,38.9
2026-08-14 13:51:00,20.1,34.2,38.9
2026-08-14 13:52:00,20.1,34.2,38.9
2026-08-14 13:53:00,20.1,34.2,38.9
2026-08-14 13:54:00,20.1,34.2,38.9
2026-08-14 13:55:00,20.1,34.2,38.9
2026-08-14 13:56:00,20.1,34.2,38.9
2026-08-14 13:57:00,20.1,34.2,38.9
2026-08-14 13:58:00,20.1,34.2,38.9
2026-08-14 13:59:00,20.1,34.2,38.9
2026-08-14 14:00:00,20.1,34.2,38.9
2026-08-14 14:01:00,20.1,34.2,38.9
2026-08-14 14:02:00,20.1,34.2,38.9
2026-08-14 14:03:00,20.1,34.2,38.9
2026-08-14 14:04:00,19.73,34.09,38.81
2026-08-14 14:05:00,19.36,33.98,38.72
2026-08-14 14:06:00,18.99,33.87,38.63
2026-08-14 14:07:00,18.62,33.76,38.54
2026-08-14 14:08:00,18.25,33.65,38.45
2026-08-14 14:09:00,17.88,33.54,38.36
2026-08-14 14:10:00,17.51,33.43,38.27
2026-08-14 14:11:00,17.14,33.32,38.18
2026-08-14 14:12:00,16.77,33.21,38.09
2026-08-14 14:13:00,16.4,33.1,38.0
2026-08-14 14:14:00,16.03,32.99,37.91
2026-08-14 14:15:00,15.66,32.88,37.82
2026-08-14 14:16:00,15.29,32.77,37.73
2026-08-14 14:17:00,14.92,32.66,37.64
2026-08-14 14:18:00,14.55,32.55,37.55
2026-08-14 14:19:00,14.18,32.44,37.46
2026-08-14 14:20:00,13.81,32.33,37.37
2026-08-14 14:21:00,13.44,32.22,37.28
2026-08-14 14:22:00,13.07,32.11,37.19
2026-08-14 14:23:00,12.7,32.0,37.1
2026-08-14 14:24:00,12.33,31.89,37.01
2026-08-14 14:25:00,11.96,31.78,36.92
2026-08-14 14:26:00,11.59,31.67,36.83
2026-08-14 14:27:00,11.22,31.56,36.74
2026-08-14 14:28:00,10.85,31.45,36.65
2026-08-14 14:29:00,10.48,31.34,36.56
2026-08-14 14:30:00,10.11,31.23,36.47
2026-08-14 14:31:00,9.74,31.12,36.38
2026-08-14 14:32:00,9.71,31.01,36.29
2026-08-14 14:33:00,9.68,30.9,36.2
2026-08-14 14:34:00,9.65,30.79,36.11
2026-08-14 14:35:00,9.62,30.68,36.02
2026-08-14 14:36:00,9.59,30.57,35.93
2026-08-14 14:37:00,9.56,30.46,35.84
2026-08-14 14:38:00,9.53,30.35,35.75
2026-08-14 14:39:00,9.5,30.24,35.66
2026-08-14 14:40:00,9.47,30.13,35.57
2026-08-14 14:41:00,9.44,30.02,35.48
2026-08-14 14:42:00,9.41,29.91,35.39
2026-08-14 14:43:00,9.38,29.8,35.3
2026-08-14 14:44:00,9.35,29.69,35.21
2026-08-14 14:45:00,9.32,29.58,35.12
2026-08-14 14:46:00,9.32,29.47,35.03
2026-08-14 14:47:00,9.32,29.36,34.94
2026-08-14 14:48:00,9.32,29.36,34.94
2026-08-14 14:49:00,9.32,29.36,34.94
2026-08-14 14:50:00,9.32,29.36,34.94
2026-08-14 14:51:00,9.32,29.36,34.94
2026-08-14 14:52:00,9.32,29.36,34.94
2026-08-14 14:53:00,9.32,29.36,34.94
2026-08-14 14:54:00,9.32,29.36,34.94
2026-08-14 14:55:00,9.32,29.36,34.94
2026-08-14 14:56:00,9.32,29.36,34.94
2026-08-14 14:57:00,9.32,29.36,34.94
2026-08-14 14:58:00,9.32,29.36,34.94
2026-08-14 14:59:00,9.32,29.36,34.94
