time,pg_stat_activity_count,max_connections,backends_waiting_on_lock
2026-08-14 13:30:00,34,100,0
2026-08-14 13:31:00,34,100,0
2026-08-14 13:32:00,34,100,0
2026-08-14 13:33:00,39,100,0
2026-08-14 13:34:00,38,100,0
2026-08-14 13:35:00,35,100,0
2026-08-14 13:36:00,41,100,0
2026-08-14 13:37:00,39,100,0
2026-08-14 13:38:00,37,100,0
2026-08-14 13:39:00,34,100,0
2026-08-14 13:40:00,41,100,0
2026-08-14 13:41:00,36,100,0
2026-08-14 13:42:00,36,100,0
2026-08-14 13:43:00,34,100,0
2026-08-14 13:44:00,37,100,0
2026-08-14 13:45:00,37,100,0
2026-08-14 13:46:00,38,100,0
2026-08-14 13:47:00,41,100,0
2026-08-14 13:48:00,39,100,0
2026-08-14 13:49:00,35,100,0
2026-08-14 13:50:00,34,100,0
2026-08-14 13:51:00,36,100,0
2026-08-14 13:52:00,39,100,0
2026-08-14 13:53:00,34,100,0
2026-08-14 13:54:00,37,100,0
2026-08-14 13:55:00,41,100,0
2026-08-14 13:56:00,36,100,0
2026-08-14 13:57:00,39,100,0
2026-08-14 13:58:00,39,100,0
2026-08-14 13:59:00,38,100,0
2026-08-14 14:00:00,69,100,0
2026-08-14 14:01:00,74,100,0
2026-08-14 14:02:00,93,100,58
2026-08-14 14:03:00,97,100,91
2026-08-14 14:04:00,97,100,94
2026-08-14 14:05:00,97,100,95
2026-08-14 14:06:00,97,100,95
2026-08-14 14:07:00,97,100,96
2026-08-14 14:08:00,97,100,96
2026-08-14 14:09:00,97,100,96
2026-08-14 14:10:00,88,100,0
2026-08-14 14:11:00,97,100,0
2026-08-14 14:12:00,97,100,0
2026-08-14 14:13:00,97,100,0
2026-08-14 14:14:00,97,100,0
2026-08-14 14:15:00,97,100,0
2026-08-14 14:16:00,97,100,0
2026-08-14 14:17:00,97,100,0
2026-08-14 14:18:00,97,100,0
2026-08-14 14:19:00,97,100,0
2026-08-14 14:20:00,97,100,0
2026-08-14 14:21:00,97,100,0
2026-08-14 14:22:00,97,100,0
2026-08-14 14:23:00,97,100,0
2026-08-14 14:24:00,97,100,0
2026-08-14 14:25:00,97,100,0
2026-08-14 14:26:00,97,100,0
2026-08-14 14:27:00,97,100,0
2026-08-14 14:28:00,97,100,0
2026-08-14 14:29:00,97,100,0
2026-08-14 14:30:00,97,100,0
2026-08-14 14:31:00,97,100,0
2026-08-14 14:32:00,97,100,0
2026-08-14 14:33:00,97,100,0
2026-08-14 14:34:00,97,100,0
2026-08-14 14:35:00,97,100,0
2026-08-14 14:36:00,97,100,0
2026-08-14 14:37:00,97,100,0
2026-08-14 14:38:00,97,100,0
2026-08-14 14:39:00,97,100,0
2026-08-14 14:40:00,97,100,0
2026-08-14 14:41:00,97,100,0
2026-08-14 14:42:00,97,100,0
2026-08-14 14:43:00,97,100,0
2026-08-14 14:44:00,97,100,22
2026-08-14 14:45:00,97,100,0
2026-08-14 14:46:00,97,100,0
2026-08-14 14:47:00,64,100,0
2026-08-14 14:48:00,52,100,0
2026-08-14 14:49:00,45,100,0
2026-08-14 14:50:00,39,100,0
2026-08-14 14:51:00,37,100,0
2026-08-14 14:52:00,41,100,0
2026-08-14 14:53:00,41,100,0
2026-08-14 14:54:00,42,100,0
2026-08-14 14:55:00,38,100,0
2026-08-14 14:56:00,41,100,0
2026-08-14 14:57:00,38,100,0
2026-08-14 14:58:00,36,100,0
2026-08-14 14:59:00,37,100,0
