time,settle_api_container_restarts_total (sum)
2026-08-14 13:30:00,0
2026-08-14 13:31:00,0
2026-08-14 13:32:00,0
2026-08-14 13:33:00,0
2026-08-14 13:34:00,0
2026-08-14 13:35:00,0
2026-08-14 13:36:00,0
2026-08-14 13:37:00,0
2026-08-14 13:38:00,0
2026-08-14 13:39:00,0
2026-08-14 13:40:00,0
2026-08-14 13:41:00,0
2026-08-14 13:42:00,0
2026-08-14 13:43:00,0
2026-08-14 13:44:00,0
2026-08-14 13:45:00,0
2026-08-14 13:46:00,0
2026-08-14 13:47:00,0
2026-08-14 13:48:00,0
2026-08-14 13:49:00,0
2026-08-14 13:50:00,0
2026-08-14 13:51:00,0
2026-08-14 13:52:00,0
2026-08-14 13:53:00,0
2026-08-14 13:54:00,0
2026-08-14 13:55:00,0
2026-08-14 13:56:00,0
2026-08-14 13:57:00,0
2026-08-14 13:58:00,0
2026-08-14 13:59:00,0
2026-08-14 14:00:00,0
2026-08-14 14:01:00,0
2026-08-14 14:02:00,0
2026-08-14 14:03:00,0
2026-08-14 14:04:00,14
2026-08-14 14:05:00,28
2026-08-14 14:06:00,42
2026-08-14 14:07:00,56
2026-08-14 14:08:00,70
2026-08-14 14:09:00,84
2026-08-14 14:10:00,98
2026-08-14 14:11:00,101
2026-08-14 14:12:00,104
2026-08-14 14:13:00,107
2026-08-14 14:14:00,110
2026-08-14 14:15:00,113
2026-08-14 14:16:00,116
2026-08-14 14:17:00,119
2026-08-14 14:18:00,122
2026-08-14 14:19:00,125
2026-08-14 14:20:00,129
2026-08-14 14:21:00,132
2026-08-14 14:22:00,135
2026-08-14 14:23:00,138
2026-08-14 14:24:00,141
2026-08-14 14:25:00,144
2026-08-14 14:26:00,147
2026-08-14 14:27:00,150
2026-08-14 14:28:00,153
2026-08-14 14:29:00,156
2026-08-14 14:30:00,160
2026-08-14 14:31:00,163
2026-08-14 14:32:00,166
2026-08-14 14:33:00,169
2026-08-14 14:34:00,172
2026-08-14 14:35:00,175
2026-08-14 14:36:00,178
2026-08-14 14:37:00,181
2026-08-14 14:38:00,184
2026-08-14 14:39:00,187
2026-08-14 14:40:00,191
2026-08-14 14:41:00,194
2026-08-14 14:42:00,197
2026-08-14 14:43:00,200
2026-08-14 14:44:00,203
2026-08-14 14:45:00,206
2026-08-14 14:46:00,209
2026-08-14 14:47:00,212
2026-08-14 14:48:00,212
2026-08-14 14:49:00,212
2026-08-14 14:50:00,212
2026-08-14 14:51:00,212
2026-08-14 14:52:00,212
2026-08-14 14:53:00,212
2026-08-14 14:54:00,212
2026-08-14 14:55:00,212
2026-08-14 14:56:00,212
2026-08-14 14:57:00,212
2026-08-14 14:58:00,212
2026-08-14 14:59:00,212
