time,settle:jobs_length,settle:processing_length
2026-08-14 13:30:00,0,0
2026-08-14 13:31:00,0,0
2026-08-14 13:32:00,0,0
2026-08-14 13:33:00,0,0
2026-08-14 13:34:00,0,0
2026-08-14 13:35:00,0,0
2026-08-14 13:36:00,0,0
2026-08-14 13:37:00,0,0
2026-08-14 13:38:00,0,0
2026-08-14 13:39:00,0,0
2026-08-14 13:40:00,0,0
2026-08-14 13:41:00,0,0
2026-08-14 13:42:00,0,0
2026-08-14 13:43:00,0,0
2026-08-14 13:44:00,0,0
2026-08-14 13:45:00,0,0
2026-08-14 13:46:00,0,0
2026-08-14 13:47:00,0,0
2026-08-14 13:48:00,0,0
2026-08-14 13:49:00,0,0
2026-08-14 13:50:00,0,0
2026-08-14 13:51:00,0,0
2026-08-14 13:52:00,0,0
2026-08-14 13:53:00,0,0
2026-08-14 13:54:00,0,0
2026-08-14 13:55:00,0,0
2026-08-14 13:56:00,0,0
2026-08-14 13:57:00,0,0
2026-08-14 13:58:00,0,0
2026-08-14 13:59:00,0,0
2026-08-14 14:00:00,2412,10
2026-08-14 14:01:00,2336,10
2026-08-14 14:02:00,2081,40
2026-08-14 14:03:00,2081,40
2026-08-14 14:04:00,2081,40
2026-08-14 14:05:00,2081,40
2026-08-14 14:06:00,2081,40
2026-08-14 14:07:00,2081,40
2026-08-14 14:08:00,2081,40
2026-08-14 14:09:00,2081,40
2026-08-14 14:10:00,2033,10
2026-08-14 14:11:00,1793,10
2026-08-14 14:12:00,1553,10
2026-08-14 14:13:00,1313,10
2026-08-14 14:14:00,1073,10
2026-08-14 14:15:00,833,10
2026-08-14 14:16:00,593,10
2026-08-14 14:17:00,353,10
2026-08-14 14:18:00,113,10
2026-08-14 14:19:00,0,0
2026-08-14 14:20:00,0,0
2026-08-14 14:21:00,0,0
2026-08-14 14:22:00,0,0
2026-08-14 14:23:00,0,0
2026-08-14 14:24:00,0,0
2026-08-14 14:25:00,0,0
2026-08-14 14:26:00,0,0
2026-08-14 14:27:00,0,0
2026-08-14 14:28:00,0,0
2026-08-14 14:29:00,0,0
2026-08-14 14:30:00,0,0
2026-08-14 14:31:00,0,0
2026-08-14 14:32:00,0,0
2026-08-14 14:33:00,0,0
2026-08-14 14:34:00,0,0
2026-08-14 14:35:00,0,0
2026-08-14 14:36:00,0,0
2026-08-14 14:37:00,0,0
2026-08-14 14:38:00,0,0
2026-08-14 14:39:00,0,0
2026-08-14 14:40:00,0,0
2026-08-14 14:41:00,0,0
2026-08-14 14:42:00,0,0
2026-08-14 14:43:00,0,0
2026-08-14 14:44:00,0,0
2026-08-14 14:45:00,0,0
2026-08-14 14:46:00,0,0
2026-08-14 14:47:00,0,0
2026-08-14 14:48:00,0,0
2026-08-14 14:49:00,0,0
2026-08-14 14:50:00,0,0
2026-08-14 14:51:00,0,0
2026-08-14 14:52:00,0,0
2026-08-14 14:53:00,0,0
2026-08-14 14:54:00,0,0
2026-08-14 14:55:00,0,0
2026-08-14 14:56:00,0,0
2026-08-14 14:57:00,0,0
2026-08-14 14:58:00,0,0
2026-08-14 14:59:00,0,0
